x,y,t,a
0,0,0,-0.879645943005142
0.0,0.2222222222222222,-0.4328127733168947,-0.879645943005142
0.09730691618275825,0.42200730703183553,-0.8656255466337894,-0.879645943005142
0.27227115070196684,0.5590118058210727,-1.2984383199506841,-0.879645943005142
0.489561434407831,0.6055698197006163,-1.7312510932675789,-0.879645943005142
0.7052994197149515,0.5522796916748048,-2.1640638665844736,-0.879645943005142
0.8759202212302308,0.4099025230708944,-2.5968766399013683,-0.879645943005142
0.9669696576322391,0.2071891387563421,-3.029689413218263,-0.5235987755982988
0.9600617304779439,-0.014925688735686608,-3.2364119086895013,-0.5235987755982988
0.9056064534443943,-0.23037252406306402,-3.4431344041607392,-0.31415926535897926
0.8061458290944166,-0.4290941893471878,-3.559473157284213,-0.31415926535897926
0.6832720656724541,-0.6142556170579999,-3.6758119104076865,-0.6283185307179585
0.5388066581335197,-0.78311195266313,-3.93595327080934,-0.6283185307179585
0.35423584754164317,-0.9068711217248216,-4.196094631210993,-0.6283185307179585
0.14317256269380044,-0.9764053279734094,-4.456235991612647,-0.5445427266222308
-0.07881632828456746,-0.986586110437297,-4.673081120214901,-0.5445427266222308
-0.2973983537678613,-0.9465284746483067,-4.889926248817154,-0.5445427266222308
-0.5013506416558162,-0.85828913923234,-5.106771377419409,-0.5445427266222308
-0.6802014688666188,-0.7263986632479296,-5.323616506021663,-0.5445427266222308
-0.8247679213231608,-0.5576288292327446,-5.540461634623917,-0.5445427266222308
-0.9276273813498968,-0.3606449529068103,-5.757306763226171,-0.5445427266222308
-0.9834986344387721,-0.1455609713376066,-5.974151891828425,-0.5445427266222308
-0.9895130278443857,0.07657984688665678,-6.19099702043068,-0.5445427266222308
-0.9453617586457168,0.2943719070668419,-6.407842149032933,-0.5445427266222308
-0.8533117289184756,0.49663289706886066,-6.6246872776351875,-0.5445427266222308
-0.7180891539503568,0.6729779317831225,-6.841532406237442,-0.5445427266222308
-0.5466368995171725,0.814352754503299,-7.058377534839696,-0.5445427266222308
-0.3477580074909671,0.9134986185411482,-7.27522266344195,-0.5445427266222308
-0.1316637125957187,0.9653249802030298,-7.492067792044204,-0.5445427266222308
0.09055084306874044,0.9671708675857542,-7.708912920646458,-0.5445427266222308
0.30747627882929546,0.9189415054763912,-7.925758049248712,-0.5445427266222308
0.5079747785025154,0.8231131814893229,-8.142603177850967,-0.5445427266222308
0.6817519502547063,0.6846061035936706,-8.35944830645322,-0.5445427266222308
0.819885381695332,0.5105317770322254,-8.576293435055474,-0.5445427266222308
0.9152827520793488,0.3098278713074054,-8.79313856365773,-0.5445427266222308
0.9630459803126951,0.09279932461800795,-9.009983692259983,-0.5445427266222308
0.9607227119514344,-0.12941075272661717,-9.226828820862236,-0.5445427266222308
0.9084322328499977,-0.3453932099881386,-9.443673949464491,-0.5445427266222308
0.8088593445501376,-0.5440586472564424,-9.660519078066745,-0.5445427266222308
0.6671165158725292,-0.7152067894253038,-9.877364206668998,-0.5445427266222308
0.4904813883975414,-0.8500502089580253,-10.094209335271254,-0.5445427266222308
0.2880231133496757,-0.9416655074295439,-10.311054463873507,-0.5445427266222308
0.07013670523883314,-0.9853487903869647,-10.527899592475762,-0.5445427266222308
-0.1519906796022209,-0.9788571840328338,-10.744744721078016,-0.5445427266222308
-0.366954136197766,-0.9225239933023427,-10.96158984968027,-0.5445427266222308
-0.5637165841919566,-0.819241588659944,-11.178434978282525,-0.5445427266222308
-0.7321754555301169,-0.6743129002754289,-11.395280106884778,-0.5445427266222308
-0.8636814005550508,-0.49517914446016736,-11.612125235487031,-0.5445427266222308
-0.9514823800806632,-0.29103776197311326,-11.828970364089287,-0.5445427266222308
-0.9910703419864046,-0.07237018476622079,-12.04581549269154,0
